time [s], mxb, myb, mzb, sxb, syb, szb
0, 1.658513e-01, -1.188474e-01, -9.789631e-01, -9.358890e-01, 2.831296e-01, -2.096409e-01
1.000000e-01, 2.958157e-01, -2.923480e-01, -9.094095e-01, -7.527829e-01, 5.066257e-01, -4.202956e-01
2.000000e-01, 3.588087e-01, -4.708903e-01, -8.059272e-01, -4.748101e-01, 6.413763e-01, -6.026540e-01
3.000000e-01, 3.382189e-01, -6.547172e-01, -6.759832e-01, -1.410033e-01, 6.673932e-01, -7.312348e-01
4.000000e-01, 2.283610e-01, -8.054646e-01, -5.468803e-01, 2.021500e-01, 5.816105e-01, -7.879496e-01
5.000000e-01, 6.925877e-02, -9.003214e-01, -4.296797e-01, 5.064031e-01, 3.963033e-01, -7.658326e-01
6.000000e-01, -1.227088e-01, -9.330819e-01, -3.380840e-01, 7.330208e-01, 1.345692e-01, -6.667621e-01
7.000000e-01, -3.477886e-01, -8.933277e-01, -2.846204e-01, 8.468296e-01, -1.643513e-01, -5.058342e-01
8.000000e-01, -5.304866e-01, -7.926339e-01, -3.005253e-01, 8.337705e-01, -4.599579e-01, -3.053941e-01
9.000000e-01, -6.976246e-01, -6.287610e-01, -3.434815e-01, 6.953185e-01, -7.130957e-01, -8.959177e-02
1, -7.724454e-01, -4.564578e-01, -4.415590e-01, 4.511392e-01, -8.860463e-01, 1.067491e-01
1.100000e+00, -7.903980e-01, -2.620636e-01, -5.537090e-01, 1.340673e-01, -9.568034e-01, 2.579789e-01
1.200000e+00, -7.188309e-01, -1.083982e-01, -6.866818e-01, -2.112302e-01, -9.142947e-01, 3.456111e-01
1.300000e+00, -5.709366e-01, 1.426682e-02, -8.208702e-01, -5.372990e-01, -7.650142e-01, 3.550536e-01
1.400000e+00, -3.848346e-01, 7.339015e-02, -9.200632e-01, -7.979802e-01, -5.302560e-01, 2.864544e-01
1.500000e+00, -1.785834e-01, 5.907927e-02, -9.821495e-01, -9.590668e-01, -2.414920e-01, 1.478939e-01
1.600000e+00, 3.335861e-02, -1.288888e-02, -9.993603e-01, -9.972736e-01, 6.065175e-02, -4.203359e-02
1.700000e+00, 2.057091e-01, -1.511516e-01, -9.668697e-01, -9.074547e-01, 3.346265e-01, -2.540689e-01
1.800000e+00, 3.244281e-01, -3.293827e-01, -8.867093e-01, -7.023740e-01, 5.425908e-01, -4.607233e-01
1.900000e+00, 3.568567e-01, -5.089134e-01, -7.833648e-01, -4.093975e-01, 6.560440e-01, -6.340347e-01
2, 3.130728e-01, -6.864927e-01, -6.562874e-01, -6.896866e-02, 6.585146e-01, -7.494010e-01
2.100000e+00, 1.957706e-01, -8.276279e-01, -5.260285e-01, 2.701940e-01, 5.505538e-01, -7.898644e-01
2.200000e+00, 4.250064e-02, -9.150820e-01, -4.010219e-01, 5.616596e-01, 3.463427e-01, -7.513889e-01
2.300000e+00, -1.676172e-01, -9.313322e-01, -3.233028e-01, 7.661973e-01, 7.385834e-02, -6.383467e-01
2.400000e+00, -3.811850e-01, -8.776057e-01, -2.906996e-01, 8.548965e-01, -2.279471e-01, -4.660388e-01
2.500000e+00, -5.779425e-01, -7.542503e-01, -3.115910e-01, 8.144665e-01, -5.182650e-01, -2.608556e-01
2.600000e+00, -7.187847e-01, -5.935316e-01, -3.620342e-01, 6.527505e-01, -7.560853e-01, -4.745279e-02
2.700000e+00, -7.884388e-01, -4.051158e-01, -4.628666e-01, 3.894764e-01, -9.100171e-01, 1.420456e-01
2.800000e+00, -7.774677e-01, -2.347222e-01, -5.834804e-01, 6.316147e-02, -9.568460e-01, 2.836482e-01
2.900000e+00, -6.874754e-01, -7.099583e-02, -7.227290e-01, -2.817839e-01, -8.914595e-01, 3.548208e-01
3, -5.349886e-01, 3.112126e-02, -8.442859e-01, -5.974787e-01, -7.231173e-01, 3.465843e-01
3.100000e+00, -3.452268e-01, 8.638471e-02, -9.345352e-01, -8.406445e-01, -4.739457e-01, 2.620921e-01
3.200000e+00, -1.325000e-01, 6.260241e-02, -9.892041e-01, -9.774207e-01, -1.791204e-01, 1.120925e-01
3.300000e+00, 6.685742e-02, -3.031681e-02, -9.973018e-01, -9.890445e-01, 1.207321e-01, -8.494013e-02
3.400000e+00, 2.407911e-01, -1.831482e-01, -9.531403e-01, -8.729848e-01, 3.854777e-01, -2.988387e-01
3.500000e+00, 3.318434e-01, -3.612822e-01, -8.714098e-01, -6.468794e-01, 5.753167e-01, -5.005574e-01
3.600000e+00, 3.558440e-01, -5.523982e-01, -7.538112e-01, -3.410769e-01, 6.666591e-01, -6.627460e-01
3.700000e+00, 3.005282e-01, -7.272980e-01, -6.170255e-01, 2.084618e-03, 6.450388e-01, -7.641469e-01
3.800000e+00, 1.778161e-01, -8.470098e-01, -5.009549e-01, 3.356545e-01, 5.154112e-01, -7.884715e-01
3.900000e+00, -1.168365e-02, -9.239163e-01, -3.824161e-01, 6.125394e-01, 2.934187e-01, -7.339625e-01
4, -2.130760e-01, -9.228323e-01, -3.209037e-01, 7.952146e-01, 1.330673e-02, -6.061821e-01
4.100000e+00, -4.227641e-01, -8.603345e-01, -2.847718e-01, 8.570966e-01, -2.901126e-01, -4.256994e-01
4.200000e+00, -6.116685e-01, -7.240714e-01, -3.187197e-01, 7.908455e-01, -5.725570e-01, -2.161987e-01
4.300000e+00, -7.313995e-01, -5.614223e-01, -3.871172e-01, 6.053330e-01, -7.959541e-01, -5.389363e-03
4.400000e+00, -7.910021e-01, -3.720634e-01, -4.856795e-01, 3.257662e-01, -9.288940e-01, 1.761597e-01
4.500000e+00, -7.678500e-01, -1.935436e-01, -6.106941e-01, -8.030544e-03, -9.529100e-01, 3.031468e-01
4.600000e+00, -6.670643e-01, -4.199272e-02, -7.438157e-01, -3.510020e-01, -8.646766e-01, 3.593495e-01
4.700000e+00, -4.965211e-01, 4.960203e-02, -8.666063e-01, -6.552574e-01, -6.763806e-01, 3.363734e-01
